Software tool,Description,Used for,Technology,Keywords,Homepage,Tested and approved by the authors
napari-pystackreg,Image registration capabilities of the python package pystackreg for napari.,"Image registration, Timeseries alignment","GUI, Napari plugin, pip","2D+t, Affine, Deformable, Fluorescence microscopy, Rigid",https://github.com/glichtner/napari-pystackreg,Yes
TurboReg,An ImageJ plugin for the automatic alignment of a source image or a stack to a target image.,"Image registration, Timeseries alignment",ImageJ plugin,"2D+t, Affine, Deformable, Fluorescence microscopy, Rigid",http://bigwww.epfl.ch/thevenaz/turboreg/,Yes
PoorMan3DReg,A poor man's 3D registration plugin for aligning dynamic 3D volumes.,"Image registration, Timeseries alignment",ImageJ plugin,"3D, 3D+t, Affine, Deformable, Rigid",http://sybil.ece.ucsb.edu/pages/poorman3dreg/index.html,No
PlatyMatch,"Linear registration of volumetric, microscopy images of embryos by establishing correspondences between cells",Image registration,"Napari plugin, Python","2D+t, 3D+t, Affine, Bipartite matching, Fluorescence microscopy, Hungarian algorithm, ICP, Point-based",https://github.com/juglab/PlatyMatch,No
NeuroMorph,Morphological analysis of 3D objects derived from serial electron microscopy images of brain tissue.,Visualization,Blender add-on,"3D mesh, Neurobiology",https://github.com/NeuroMorph-EPFL/NeuroMorph,No
spam,Package for handling and correlating 3D fields for applications in material science.,"Image registration, Timeseries alignment","CLI, Python, pip","2D+t, 3D, 3D+t, Affine, Deformable, Granular materials, Optical flow, Rigid",https://ttk.gricad-pages.univ-grenoble-alpes.fr/spam/tutorials/tutorial-02b-DIC-practice.html,Yes
Lineage-Mapper,Overlap-based cell tracking system across a set of time-lapse images.,Object tracking,"ImageJ plugin, Matlab","Cell biology, Cell lineage, Cell mitosis, Overlap-based",https://github.com/usnistgov/Lineage-Mapper,No
DeepCell,A deep learning library for single-cell analysis of biological images written in Python and built using Tensorflow 2.,"Image segmentation, Instance segmentation, Object tracking","Docker, Notebook, Python, Tensorflow","2D+t, Cell biology, Deep learning, Hungarian algorithm",https://github.com/vanvalenlab/deepcell-tf,No
MTrackJ,An ImageJ plugin to facilitate tracking of moving objects in image sequences and the measurement of track statistics.,Object tracking,ImageJ plugin,"2D+t, 3D+t",https://imagescience.org/meijering/software/mtrackj/,No
Mask-RCNN,A model to generate bounding boxes and segmentation masks of object instances.,"Image segmentation, Object detection","Notebook, Python, Tensorflow","Deep learning, Mask-RCNN",https://github.com/matterport/Mask_RCNN,No
Trackpy,"Python package for particle tracking in 2D, 3D, and higher dimensions.","Blob detection, Keypoints tracking, Object detection, Object tracking","Python, conda, pip","2D+t, 3D+t",https://github.com/soft-matter/trackpy,Yes
segmentation_models,Python library with neural networks for image segmentation based on Keras and Tensorflow.,Image segmentation,"Python, Tensorflow, pip","Deep learning, U-Net",https://github.com/qubvel/segmentation_models,Yes
SLEAP,Open source deep-learning based framework for multi-animal pose tracking.,"Keypoints tracking, Object tracking","Notebook, Python, conda, pip","2D+t, Animal behavior, Deep learning, Point-based",https://github.com/talmolab/sleap,No
TrakEM2,"ImageJ plugin for morphological data mining, three-dimensional modeling and image stitching, registration, editing and annotation.","Image registration, Image segmentation, Image stitching","GUI, ImageJ plugin","3D, Affine, Lazy loading, Neurobiology, Phase correlation, Rigid, SIFT",https://imagej.net/plugins/trakem2/,No
qupath-extension-stardist,QuPath extension for StarDist.,"Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object detection","QuPath extension, Tensorflow","Cell biology, Deep learning, Fluorescence microscopy, StarDist, Whole slide imaging",https://github.com/qupath/qupath-extension-stardist,Yes
StarDist,2D and 3D object detection method with star-convex shapes.,"Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object detection","Notebook, Python, Tensorflow, pip","3D, Cell biology, Deep learning, Fluorescence microscopy, StarDist",https://github.com/stardist/stardist,Yes
stardist-napari,"Napari plugin for StarDist, a deep learning based 2D and 3D object detection method with star-convex shapes.","Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object detection","Napari plugin, Python, Tensorflow, pip","3D, Cell biology, Deep learning, Fluorescence microscopy, StarDist",https://github.com/stardist/stardist-napari,Yes
omnipose,A general image segmentation tool that builds on Cellpose.,"Bacteria detection, Image segmentation, Instance segmentation, Object detection","GUI, Python, Tensorflow, conda, pip","3D, Cell biology, CellPose, Deep learning, Fluorescence microscopy",https://github.com/kevinjohncutler/omnipose,Yes
CellPose,A generalist algorithm for cell and nucleus segmentation.,"Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object detection","CLI, GUI, Notebook, Python, Tensorflow, conda, pip","3D, Cell biology, CellPose, Deep learning, Fluorescence microscopy, Whole slide imaging",https://github.com/mouseland/cellpose,Yes
qupath-extension-cellpose,Support to use 2D Cellpose within QuPath through a Python virtual environment.,"Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object detection",QuPath extension,"Cell biology, CellPose, Deep learning, Fluorescence microscopy, Whole slide imaging",https://github.com/biop/qupath-extension-cellpose/releases,Yes
napari-serialcellpose,Segment single images or series of images using built-in or custom Cellpose models.,"Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object tracking","Napari plugin, pip","3D, Cell biology, CellPose, Deep learning, Fluorescence microscopy",https://github.com/guiwitz/napari-serialcellpose,Yes
cellpose-napari,A Napari plugin for anatomical segmentation of general cellular images.,"Blob detection, Cell detection, Image segmentation, Instance segmentation, Nuclei detection, Object tracking","Napari plugin, pip","Cell biology, CellPose, Deep learning, Fluorescence microscopy",https://github.com/MouseLand/cellpose-napari,Yes
rembg,A tool to remove images background.,"Image segmentation, Pixel classification","CLI, Docker, Python, pip","Deep learning, U-Net",https://github.com/danielgatis/rembg,Yes
clipseg,Image segmentation using text and image prompts.,"Image segmentation, One-shot learning, Pixel classification, Zero-shot learning","Notebook, Python, Pytorch","CLIP, Deep learning, Text prompt",https://github.com/timojl/clipseg,Yes
OWL-Vit,Open-world object detection with vision transformers.,"Object detection, One-shot learning, Zero-shot learning","Huggingface, Notebook, Python, Tensorflow","Google, Text prompt",https://github.com/google-research/scenic/tree/main/scenic/projects/owl_vit,Yes
NoduleNet,Decoupled False Positive Reduction for Pulmonary Nodule Detection and Segmentation.,"Image segmentation, Object detection, Pixel classification","Python, Pytorch","3D, Deep learning, MRI, Medical imaging, Tumor nodules",https://github.com/uci-cbcl/NoduleNet,No
nnUNet,Generalist segmentation method designed to deal with the dataset diversity found in medical imaging.,"Image segmentation, Pixel classification","CLI, Python, Pytorch, pip","CT scan, Deep learning, MRI, Medical imaging, U-Net",https://github.com/MIC-DKFZ/nnUNet,Yes
pytorch-3dunet,PyTorch implementation 3D U-Net and its variants.,Image segmentation,"CLI, Python, Pytorch, conda","3D, Cell biology, Deep learning, U-Net",https://github.com/wolny/pytorch-3dunet,Yes
iliopsoas_muscle,3D U-Net implementation for the analysis of iliopsoas muscle volumes in the UK Biobank.,Image segmentation,"Python, Tensorflow","3D, Deep learning, MRI, Medical imaging",https://github.com/recoh/iliopsoas_muscle,Yes
napari-nlm,GPU accelerated non local means (NLM) denoising plugin for napari.,Image denoising,"Napari plugin, Python, pip",Non-local means,https://github.com/maweigert/napari-nlm,Yes
napari-accelerated-pixel-and-object-classification,"Classify pixels and objects in images, on a GPU using OpenCL in napari.","Image segmentation, Object classification","Napari plugin, Python, pip",Cell biology,https://github.com/haesleinhuepf/napari-accelerated-pixel-and-object-classification,Yes
napari-sift-registration,Simple plugin for 2D keypoint detection and affine registration with RANSAC.,"Image registration, Keypoint feature detection","Napari plugin, Python","Affine, Point-based, RANSAC, SIFT",https://github.com/jfozard/napari-sift-registration,No
SiamMask,Fast Online Object Tracking and Segmentation: A Unifying Approach.,"Image segmentation, Object detection, Object tracking, One-shot learning","Python, Pytorch","2D+t, Deep learning",https://github.com/foolwood/SiamMask,Yes
